wine,year,winery,price,bottle,type_wine,type_wine_details,grapes,num_varieties,type_agriculture,region,region_gi,alcohol_content,tasting_notes,customer_reviews,customer_reviews_number,parker_score,parker_score_num,penin_score,image,url
La Rioja Alta Gran Reserva 904 2015,2015,La Rioja Alta,68.0,0.75,Red,Red,Tempranillo,Blend,Conventional,La Rioja,Rioja,14.5,full with_volume mineral balanced good_acidity fruit pleasant highly_aromatic fruit fresh_fruit apple of_baked_bread yeast,4.8,45.0,95,95.0,97.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/ra90415_anv800.png,https://www.vinissimus.com/en/wine/la-rioja-alta-gran-reserva-904/
La Rioja Alta Gran Reserva 904 2015,2015,La Rioja Alta,68.0,0.75,Red,Red,Graciano,Blend,Conventional,La Rioja,Rioja,14.5,full with_volume mineral balanced good_acidity fruit pleasant highly_aromatic fruit fresh_fruit apple of_baked_bread yeast,4.8,45.0,95,95.0,97.0,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/ra90415_anv800.png,https://www.vinissimus.com/en/wine/la-rioja-alta-gran-reserva-904/
Cresta Rosa,,Perelada,8.8,0.75,Sparkling,Frizzante rosé,Tempranillo,Blend,Conventional,Wines without GI,Wines without GI,12.5,fresh lovely fruit-forward crunchy easy_to_drink long fruit tropical_fruit herbaceous fennel,4.1,22.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/crestar_anv800.png,https://www.vinissimus.com/en/wine/cresta-rosa/
Cresta Rosa,,Perelada,8.8,0.75,Sparkling,Frizzante rosé,Cariñena,Blend,Conventional,Wines without GI,Wines without GI,12.5,fresh lovely fruit-forward crunchy easy_to_drink long fruit tropical_fruit herbaceous fennel,4.1,22.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/crestar_anv800.png,https://www.vinissimus.com/en/wine/cresta-rosa/
Cresta Rosa,,Perelada,8.8,0.75,Sparkling,Frizzante rosé,Garnacha,Blend,Conventional,Wines without GI,Wines without GI,12.5,fresh lovely fruit-forward crunchy easy_to_drink long fruit tropical_fruit herbaceous fennel,4.1,22.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/crestar_anv800.png,https://www.vinissimus.com/en/wine/cresta-rosa/
Enate Chardonnay - 234 2022,2022,Enate,12.0,0.75,White,White,Chardonnay,Varietal,Conventional,Aragón,Somontano,14.0,fresh dry light bitter complex sharp delicate ageing saline,4.4,113.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/e13c222_anv800.png,https://www.vinissimus.com/en/wine/enate-chardonnay-234/
Gran Cerdo,,The Wine Love,10.6,0.75,Red,Red,Tempranillo,Blend,Conventional,Wines without GI,Wines without GI,13.0,rich crunchy intense fruit citrus ripe_fruit,4.4,51.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/grcer09_anv800.png,https://www.vinissimus.com/en/wine/gran-cerdo/
Gran Cerdo,,The Wine Love,10.6,0.75,Red,Red,Graciano,Blend,Conventional,Wines without GI,Wines without GI,13.0,rich crunchy intense fruit citrus ripe_fruit,4.4,51.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/grcer09_anv800.png,https://www.vinissimus.com/en/wine/gran-cerdo/
Domaines Lupier El Terroir 2018,2018,Domaines Lupier,24.8,0.75,Red,Red,Garnacha,Varietal,Conventional,Navarra,Navarre,14.5,fresh fruit red_fruit good_acidity surprising fruit white_fruit pear apple,4.6,10.0,95,95.0,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/dlter18_anv800.png,https://www.vinissimus.com/en/wine/domaines-lupier-el-terroir/
Sericis Monastrell 2018,2018,Bodegas Murviedro,13.0,0.75,Red,Red,Monastrell,Varietal,Conventional,Comunidad Valenciana,Alicante,14.0,fruit-forward well-integrated_wood elegant_tannins characterful fruit elegant,4.5,6.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/srmnt17_anv800_1666272199.png,https://www.vinissimus.com/en/wine/sericis-monastrell/
Lirondo 2022,2022,Isaac Cantalapiedra,17.2,0.75,White,White,Verdejo,Varietal,Biodynamic,Wines without GI,Wines without GI,13.5,straightforward good_acidity crunchy flavoursome lively fresh mineral pear,4.8,8.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/liron21_anv800_1648550499.png,https://www.vinissimus.com/en/wine/lirondo/
Cune Verdejo 2021,2021,Compañía Vinícola del Norte de España - CVNE,10.2,0.75,White,White,Verdejo,Varietal,Conventional,Castilla y León,Rueda,13.0,powerful fleshy earthy balanced ripe_fruit cocoa spices hardwoods,4.5,12.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/cuver21_anv800_1649150332.png,https://www.vinissimus.com/en/wine/cune-verdejo/
Manzanilla La Gitana,,Bodegas Hidalgo La Gitana,10.8,0.75,Dessert,Manzanilla sherry,Palomino Fino,Varietal,Conventional,Andalucía,Jerez-Manzanilla,15.0,silky fresh complex fruit green_apple pear floral_scents white_flowers acacia_blossom toasty honey spicy,4.6,40.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/mnzgita_anv800_1675680380.png,https://www.vinissimus.com/en/wine/manzanilla-la-gitana/
PSI 2020,2020,Dominio de Pingus,45.4,0.75,Red,Red,Tempranillo,Blend,Conventional,Castilla y León,Ribera del Duero,14.0,flavoursome fresh floral herbaceous elegant highly_aromatic fine elegant fruit exotic_fruit grapefruit,4.6,73.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/psiv20p_anv800_1675681831.png,https://www.vinissimus.com/en/wine/psi/
PSI 2020,2020,Dominio de Pingus,45.4,0.75,Red,Red,Garnacha,Blend,Conventional,Castilla y León,Ribera del Duero,14.0,flavoursome fresh floral herbaceous elegant highly_aromatic fine elegant fruit exotic_fruit grapefruit,4.6,73.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/psiv20p_anv800_1675681831.png,https://www.vinissimus.com/en/wine/psi/
Marieta 2022,2022,Bodegas Martín Códax,15.6,0.75,White,White,Albariño,Varietal,Conventional,Galicia,Rías Baixas,12.0,smooth straightforward fruit-forward long elegant red_fruit vanilla,4.4,54.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/marie22_anv800.png,https://www.vinissimus.com/en/wine/marieta/
Izadi Larrosa Rosé 2022,2022,Bodegas Izadi,11.0,0.75,Rosé,Rosé,Garnacha,Varietal,Conventional,Euskadi,Rioja,14.5,straightforward light easy_to_drink highly_aromatic fruit,4.4,27.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/larro21_anv800_1645637900.png,https://www.vinissimus.com/en/wine/izadi-larrosa/
Belondrade Quinta Apolonia 2022,2022,Belondrade,20.2,0.75,White,White,Verdejo,Varietal,Conventional,Castilla y León,Castile and León,13.5,full smooth dry balanced crunchy flavoursome powerful fine elegant tropical_fruit herbaceous wet_grass,4.5,28.0,91,91.0,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/qapo22_anv800.png,https://www.vinissimus.com/en/wine/belondrade-quinta-apolonia/
Tinto Pesquera Crianza 2020,2020,Tinto Pesquera,23.15,0.75,Red,Red,Tempranillo,Varietal,Conventional,Castilla y León,Ribera del Duero,14.5,good_entry voluminous unctuous rounded_tannins good_acidity spicy pepper clove vanilla ripe_fruit smoky cocoa elegant pleasant_finish long intense red_fruit highly_aromatic fruit raspberry blackberries ageing coconut caramel scrubland balanced frank,4.6,63.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/pesqc19_anv800_1643735480.png,https://www.vinissimus.com/en/wine/tinto-pesquera-crianza/
Marqués de Cáceres Blanco 2021,2021,Marqués de Cáceres,9.2,0.75,White,White,Viura,Varietal,Conventional,La Rioja,Rioja,12.0,balanced delicate long citrus_fruit honey walnut apple almond_blossom,4.5,22.0,,,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/mcqbl21_anv800_1660223757.png,https://www.vinissimus.com/en/wine/marques-de-caceres-blanco/
Viña Alberdi 2018,2018,La Rioja Alta,18.4,0.75,Red,Red,Tempranillo,Varietal,Conventional,La Rioja,Rioja,14.5,elegant unctuous fruit red_fruit well-integrated_tannins spicy structured pleasant_finish long enveloping highly_aromatic fruit red_fruit aromatic_herbs spicy,4.3,45.0,92,92.0,,https://cdn.vinissimus.com/img/unsafe/p500x/plain/local:///prfmtgrande/vi/valbr18_anv800_1659951979.png,https://www.vinissimus.com/en/wine/vina-alberdi/
